stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,h3_7,h3_8,h3_9,h3_10
7207,57136.0,Langley Centre @ Bay 2,,49.106169,-122.654028,BUS ZN,,0,,1,8728ded0dffffff,8828ded0dbfffff,8928ded0da7ffff,8a28ded0da47fff
7209,57138.0,Westbound Fraser Hwy @ 195A St,,49.11457,-122.681102,BUS ZN,,0,,1,8728ded72ffffff,8828ded72bfffff,8928ded72a7ffff,8a28ded72a5ffff
7210,57139.0,Westbound Fraser Hwy @ 194 St,,49.116584,-122.685541,BUS ZN,,0,,1,8728ded73ffffff,8828ded73dfffff,8928ded73c3ffff,8a28ded73c37fff
7213,57142.0,Northbound King George Blvd @ 102 Ave,,49.18822,-122.845209,BUS ZN,,0,,1,8728de896ffffff,8828de8969fffff,8928de89697ffff,8a28de896957fff
7214,57143.0,Langley Centre @ Bay 5,,49.106449,-122.654727,BUS ZN,,0,,1,8728ded0dffffff,8828ded0dbfffff,8928ded0da7ffff,8a28ded0da47fff
7217,57146.0,Eastbound 48 Ave @ 208 St,,49.089503,-122.645445,BUS ZN,,0,,1,8728ded2bffffff,8828ded2b3fffff,8928ded2b33ffff,8a28ded2b327fff
7218,57147.0,Eastbound 48 Ave @ 210 St,,49.089488,-122.642323,BUS ZN,,0,,1,8728ded2bffffff,8828ded2b1fffff,8928ded2b07ffff,8a28ded2b06ffff
7219,57148.0,Eastbound 48 Ave @ 214A St,,49.089411,-122.628948,BUS ZN,,0,,2,8728ded2bffffff,8828ded2b5fffff,8928ded2b57ffff,8a28ded2b547fff
722,50715.0,Northbound Nanaimo St @ E 22 Ave,,49.251051,-123.056489,BUS ZN,,0,,1,8728de8d0ffffff,8828de8d0dfffff,8928de8d0cbffff,8a28de8d0caffff
7221,57150.0,Eastbound 48 Ave @ 219 St,,49.089338,-122.616322,BUS ZN,,0,,1,8728ded2affffff,8828ded2a3fffff,8928ded2a2fffff,8a28ded2a2dffff
7222,57151.0,Eastbound 48 Ave @ 221 St,,49.089322,-122.610856,BUS ZN,,0,,1,8728ded2affffff,8828ded2a7fffff,8928ded2a67ffff,8a28ded2a66ffff
